time,gaze,,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0,NaN, NaN,NaN, NaN,0,0,0.01859, -0.07141, 0.32363,0.06379, -0.07041, 0.36489,0.05980, 0.00037, 0.38552,0.06789, -0.07657, 0.39020,0.03258, -0.10394, 0.34149,0.01756, -0.10194, 0.34631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN, NaN,NaN, NaN,0,0,0.01859, -0.07141, 0.32363,0.06379, -0.07041, 0.36489,0.05980, 0.00037, 0.38552,0.06789, -0.07657, 0.39020,0.03258, -0.10394, 0.34149,0.01756, -0.10194, 0.34631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0199999809265137,NaN, NaN,NaN, NaN,0,0,0.01479, -0.06669, 0.32837,0.05821, -0.06691, 0.37092,0.05280, 0.00758, 0.39015,0.06255, -0.06496, 0.39753,0.02990, -0.09889, 0.34520,0.01457, -0.09808, 0.35051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0264735221862793,NaN, NaN,NaN, NaN,0,0,0.01479, -0.06669, 0.32837,0.05821, -0.06691, 0.37092,0.05280, 0.00758, 0.39015,0.06255, -0.06496, 0.39753,0.02990, -0.09889, 0.34520,0.01457, -0.09808, 0.35051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0336685180664063,NaN, NaN,NaN, NaN,0,0,0.01479, -0.06669, 0.32837,0.05821, -0.06691, 0.37092,0.05280, 0.00758, 0.39015,0.06255, -0.06496, 0.39753,0.02990, -0.09889, 0.34520,0.01457, -0.09808, 0.35051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0404376983642578,NaN, NaN,NaN, NaN,0,0,0.01405, -0.06641, 0.32953,0.05652, -0.06741, 0.37271,0.05172, 0.00695, 0.39270,0.06118, -0.06515, 0.40034,0.02839, -0.09903, 0.34630,0.01286, -0.09807, 0.35134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0475091934204102,NaN, NaN,NaN, NaN,0,0,0.01405, -0.06641, 0.32953,0.05652, -0.06741, 0.37271,0.05172, 0.00695, 0.39270,0.06118, -0.06515, 0.40034,0.02839, -0.09903, 0.34630,0.01286, -0.09807, 0.35134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0535697937011719,NaN, NaN,NaN, NaN,0,0,0.01405, -0.06641, 0.32953,0.05652, -0.06741, 0.37271,0.05172, 0.00695, 0.39270,0.06118, -0.06515, 0.40034,0.02839, -0.09903, 0.34630,0.01286, -0.09807, 0.35134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0622491836547852,NaN, NaN,NaN, NaN,0,0,0.01340, -0.06671, 0.33033,0.05540, -0.06711, 0.37394,0.05013, 0.00573, 0.39494,0.05981, -0.06929, 0.40117,0.02687, -0.09969, 0.34774,0.01080, -0.09829, 0.35217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0695080757141113,NaN, NaN,NaN, NaN,0,0,0.01340, -0.06671, 0.33033,0.05540, -0.06711, 0.37394,0.05013, 0.00573, 0.39494,0.05981, -0.06929, 0.40117,0.02687, -0.09969, 0.34774,0.01080, -0.09829, 0.35217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
