time,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0,NaN, NaN,0.00000, 0.15000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN, NaN,0.00000, 0.15000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0200004577636719,NaN, NaN,0.00000, 0.15000,0.02472, -0.06999, 0.31171,0.07873, -0.07708, 0.34001,0.09119, -0.01418, 0.36661,0.07830, -0.07237, 0.37512,0.03249, -0.10379, 0.32673,0.01961, -0.09817, 0.33384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0243663787841797,NaN, NaN,0.00000, 0.15000,0.02472, -0.06999, 0.31171,0.07873, -0.07708, 0.34001,0.09119, -0.01418, 0.36661,0.07830, -0.07237, 0.37512,0.03249, -0.10379, 0.32673,0.01961, -0.09817, 0.33384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0309162139892578,NaN, NaN,0.00000, 0.15000,0.02472, -0.06999, 0.31171,0.07873, -0.07708, 0.34001,0.09119, -0.01418, 0.36661,0.07830, -0.07237, 0.37512,0.03249, -0.10379, 0.32673,0.01961, -0.09817, 0.33384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0378818511962891,NaN, NaN,0.00000, 0.15000,0.02378, -0.06952, 0.31053,0.07775, -0.07696, 0.33891,0.09068, -0.01375, 0.36514,0.07841, -0.06837, 0.37576,0.03153, -0.10324, 0.32549,0.01884, -0.09763, 0.33273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0450038909912109,NaN, NaN,0.00000, 0.15000,0.02378, -0.06952, 0.31053,0.07775, -0.07696, 0.33891,0.09068, -0.01375, 0.36514,0.07841, -0.06837, 0.37576,0.03153, -0.10324, 0.32549,0.01884, -0.09763, 0.33273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0510406494140625,NaN, NaN,0.00000, 0.15000,0.02378, -0.06952, 0.31053,0.07775, -0.07696, 0.33891,0.09068, -0.01375, 0.36514,0.07841, -0.06837, 0.37576,0.03153, -0.10324, 0.32549,0.01884, -0.09763, 0.33273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0579605102539063,NaN, NaN,0.00000, 0.15000,0.02252, -0.06920, 0.30925,0.07581, -0.07745, 0.33816,0.08987, -0.01316, 0.36327,0.07826, -0.06255, 0.37715,0.03027, -0.10281, 0.32440,0.01768, -0.09720, 0.33166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0637531280517578,NaN, NaN,0.00000, 0.15000,0.02252, -0.06920, 0.30925,0.07581, -0.07745, 0.33816,0.08987, -0.01316, 0.36327,0.07826, -0.06255, 0.37715,0.03027, -0.10281, 0.32440,0.01768, -0.09720, 0.33166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0683841705322266,NaN, NaN,0.00000, 0.15000,0.02252, -0.06920, 0.30925,0.07581, -0.07745, 0.33816,0.08987, -0.01316, 0.36327,0.07826, -0.06255, 0.37715,0.03027, -0.10281, 0.32440,0.01768, -0.09720, 0.33166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0773944854736328,NaN, NaN,0.00000, 0.15000,0.02116, -0.06878, 0.30801,0.07320, -0.07804, 0.33778,0.08858, -0.01196, 0.36142,0.07748, -0.05482, 0.37897,0.02898, -0.10226, 0.32363,0.01636, -0.09669, 0.33075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0862827301025391,NaN, NaN,0.00000, 0.15000,0.02116, -0.06878, 0.30801,0.07320, -0.07804, 0.33778,0.08858, -0.01196, 0.36142,0.07748, -0.05482, 0.37897,0.02898, -0.10226, 0.32363,0.01636, -0.09669, 0.33075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0954322814941406,NaN, NaN,0.00000, 0.15000,0.01990, -0.06822, 0.30700,0.07065, -0.07861, 0.33750,0.08711, -0.01042, 0.35988,0.07604, -0.04651, 0.38038,0.02800, -0.10161, 0.32307,0.01532, -0.09609, 0.33007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
