time,gaze,,touch,,button_pos,,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0200004577636719,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04259, -0.07963, 0.24902,0.10099, -0.06161, 0.28226,0.08506, -0.04106, 0.31929,0.07573, -0.09984, 0.25901,0.06161, -0.11045, 0.25684,0.04792, -0.11531, 0.26202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0296363830566406,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04259, -0.07963, 0.24902,0.10099, -0.06161, 0.28226,0.08506, -0.04106, 0.31929,0.07573, -0.09984, 0.25901,0.06161, -0.11045, 0.25684,0.04792, -0.11531, 0.26202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0359830856323242,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04181, -0.08229, 0.24035,0.09984, -0.06557, 0.27213,0.09213, -0.05301, 0.30231,0.07502, -0.10304, 0.24963,0.06055, -0.11307, 0.24827,0.04673, -0.11729, 0.25411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0419511795043945,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04181, -0.08229, 0.24035,0.09984, -0.06557, 0.27213,0.09213, -0.05301, 0.30231,0.07502, -0.10304, 0.24963,0.06055, -0.11307, 0.24827,0.04673, -0.11729, 0.25411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0479869842529297,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04181, -0.08229, 0.24035,0.09984, -0.06557, 0.27213,0.09213, -0.05301, 0.30231,0.07502, -0.10304, 0.24963,0.06055, -0.11307, 0.24827,0.04673, -0.11729, 0.25411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0539932250976563,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04109, -0.08463, 0.22935,0.09697, -0.06978, 0.26216,0.09493, -0.06588, 0.28211,0.07509, -0.10535, 0.23820,0.06075, -0.11484, 0.23722,0.04691, -0.11853, 0.24334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0626029968261719,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04109, -0.08463, 0.22935,0.09697, -0.06978, 0.26216,0.09493, -0.06588, 0.28211,0.07509, -0.10535, 0.23820,0.06075, -0.11484, 0.23722,0.04691, -0.11853, 0.24334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.069025993347168,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04109, -0.08463, 0.22935,0.09697, -0.06978, 0.26216,0.09493, -0.06588, 0.28211,0.07509, -0.10535, 0.23820,0.06075, -0.11484, 0.23722,0.04691, -0.11853, 0.24334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0760517120361328,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04132, -0.08847, 0.21510,0.09603, -0.07402, 0.24767,0.09781, -0.07488, 0.26080,0.07590, -0.10955, 0.22439,0.06166, -0.11820, 0.22413,0.04787, -0.12093, 0.23087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0809316635131836,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04132, -0.08847, 0.21510,0.09603, -0.07402, 0.24767,0.09781, -0.07488, 0.26080,0.07590, -0.10955, 0.22439,0.06166, -0.11820, 0.22413,0.04787, -0.12093, 0.23087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0904521942138672,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04132, -0.08847, 0.21510,0.09603, -0.07402, 0.24767,0.09781, -0.07488, 0.26080,0.07590, -0.10955, 0.22439,0.06166, -0.11820, 0.22413,0.04787, -0.12093, 0.23087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.099360466003418,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04175, -0.09820, 0.20157,0.09412, -0.08334, 0.23465,0.09832, -0.08846, 0.24795,0.07455, -0.12056, 0.21444,0.06000, -0.12806, 0.21444,0.04585, -0.12878, 0.22075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
