time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
547.0389,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
547.0389,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
547.0589,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06611, 0.00763, 0.31895,0.03714, -0.02203, 0.35633,0.01783, 0.00628, 0.39026,0.07585, -0.02201, 0.32529,0.08741, -0.01240, 0.32515,0.09492, -0.00203, 0.32892
547.072,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06605, 0.00767, 0.31831,0.03693, -0.02201, 0.35563,0.01760, 0.00646, 0.38957,0.07573, -0.02201, 0.32479,0.08731, -0.01237, 0.32451,0.09491, -0.00198, 0.32832
547.082,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06600, 0.00774, 0.31785,0.03680, -0.02194, 0.35516,0.01744, 0.00669, 0.38909,0.07567, -0.02197, 0.32444,0.08725, -0.01231, 0.32408,0.09489, -0.00190, 0.32790
547.0889,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06600, 0.00774, 0.31785,0.03680, -0.02194, 0.35516,0.01744, 0.00669, 0.38909,0.07567, -0.02197, 0.32444,0.08725, -0.01231, 0.32408,0.09489, -0.00190, 0.32790
547.0961,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06600, 0.00774, 0.31785,0.03680, -0.02194, 0.35516,0.01744, 0.00669, 0.38909,0.07567, -0.02197, 0.32444,0.08725, -0.01231, 0.32408,0.09489, -0.00190, 0.32790
547.103,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06599, 0.00799, 0.31701,0.03667, -0.02178, 0.35430,0.01720, 0.00729, 0.38822,0.07568, -0.02178, 0.32394,0.08725, -0.01206, 0.32331,0.09498, -0.00158, 0.32713
547.109,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06599, 0.00799, 0.31701,0.03667, -0.02178, 0.35430,0.01720, 0.00729, 0.38822,0.07568, -0.02178, 0.32394,0.08725, -0.01206, 0.32331,0.09498, -0.00158, 0.32713
547.1149,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06599, 0.00799, 0.31701,0.03667, -0.02178, 0.35430,0.01720, 0.00729, 0.38822,0.07568, -0.02178, 0.32394,0.08725, -0.01206, 0.32331,0.09498, -0.00158, 0.32713
547.122,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06603, 0.00839, 0.31640,0.03650, -0.02150, 0.35361,0.01694, 0.00798, 0.38753,0.07561, -0.02148, 0.32364,0.08724, -0.01174, 0.32279,0.09506, -0.00121, 0.32663
547.1289,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06603, 0.00839, 0.31640,0.03650, -0.02150, 0.35361,0.01694, 0.00798, 0.38753,0.07561, -0.02148, 0.32364,0.08724, -0.01174, 0.32279,0.09506, -0.00121, 0.32663
547.136,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06603, 0.00839, 0.31640,0.03650, -0.02150, 0.35361,0.01694, 0.00798, 0.38753,0.07561, -0.02148, 0.32364,0.08724, -0.01174, 0.32279,0.09506, -0.00121, 0.32663
547.1429,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06613, 0.00890, 0.31581,0.03651, -0.02114, 0.35297,0.01681, 0.00869, 0.38690,0.07569, -0.02100, 0.32328,0.08736, -0.01125, 0.32226,0.09518, -0.00066, 0.32609
547.1518,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06613, 0.00890, 0.31581,0.03651, -0.02114, 0.35297,0.01681, 0.00869, 0.38690,0.07569, -0.02100, 0.32328,0.08736, -0.01125, 0.32226,0.09518, -0.00066, 0.32609
547.1613,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06618, 0.00941, 0.31520,0.03663, -0.02069, 0.35238,0.01674, 0.00926, 0.38626,0.07579, -0.02054, 0.32285,0.08750, -0.01065, 0.32172,0.09527, -0.00001, 0.32553
547.1702,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06618, 0.00941, 0.31520,0.03663, -0.02069, 0.35238,0.01674, 0.00926, 0.38626,0.07579, -0.02054, 0.32285,0.08750, -0.01065, 0.32172,0.09527, -0.00001, 0.32553
547.1801,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.00998, 0.31508,0.03659, -0.02029, 0.35212,0.01659, 0.01000, 0.38606,0.07568, -0.02007, 0.32291,0.08751, -0.01028, 0.32160,0.09533, 0.00035, 0.32543
547.1895,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.00998, 0.31508,0.03659, -0.02029, 0.35212,0.01659, 0.01000, 0.38606,0.07568, -0.02007, 0.32291,0.08751, -0.01028, 0.32160,0.09533, 0.00035, 0.32543
547.1984,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.00998, 0.31508,0.03659, -0.02029, 0.35212,0.01659, 0.01000, 0.38606,0.07568, -0.02007, 0.32291,0.08751, -0.01028, 0.32160,0.09533, 0.00035, 0.32543
547.2093,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06632, 0.01072, 0.31447,0.03657, -0.01975, 0.35152,0.01626, 0.01118, 0.38537,0.07575, -0.01929, 0.32265,0.08752, -0.00964, 0.32105,0.09535, 0.00101, 0.32485
