time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,,
13.79216,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10440, -0.04321, 0.24823),(0.05119, -0.03444, 0.28213),(0.04656, -0.02057, 0.28947),(0.04902, -0.03572, 0.29509),(0.06345, -0.04837, 0.30101),(0.08244, -0.05340, 0.30279),
13.79216,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10440, -0.04321, 0.24823),(0.05119, -0.03444, 0.28213),(0.04656, -0.02057, 0.28947),(0.04902, -0.03572, 0.29509),(0.06345, -0.04837, 0.30101),(0.08244, -0.05340, 0.30279),
13.81215,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10500, -0.04429, 0.24626),(0.05486, -0.03105, 0.28071),(0.05158, -0.01204, 0.28763),(0.05077, -0.03438, 0.28974),(0.06387, -0.04837, 0.29492),(0.08185, -0.05283, 0.29813),
13.84562,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10539, -0.04392, 0.24445),(0.05607, -0.02832, 0.27831),(0.05417, -0.00673, 0.28514),(0.05125, -0.03243, 0.28594),(0.06363, -0.04709, 0.29097),(0.08096, -0.05217, 0.29439),
13.86093,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10524, -0.04373, 0.24365),(0.05606, -0.02803, 0.27731),(0.05462, -0.00487, 0.28390),(0.05081, -0.03207, 0.28421),(0.06300, -0.04687, 0.28929),(0.08010, -0.05210, 0.29283),
13.89371,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10518, -0.04286, 0.24207),(0.05635, -0.02696, 0.27551),(0.05594, -0.00033, 0.28210),(0.05042, -0.03089, 0.28126),(0.06233, -0.04599, 0.28630),(0.07904, -0.05154, 0.28987),
13.89767,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10518, -0.04286, 0.24207),(0.05635, -0.02696, 0.27551),(0.05594, -0.00033, 0.28210),(0.05042, -0.03089, 0.28126),(0.06233, -0.04599, 0.28630),(0.07904, -0.05154, 0.28987),
13.93176,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10516, -0.04173, 0.24068),(0.05688, -0.02543, 0.27451),(0.05760, 0.00448, 0.28085),(0.05075, -0.02916, 0.27924),(0.06248, -0.04449, 0.28418),(0.07890, -0.05021, 0.28778),
13.9594,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10484, -0.04138, 0.24067),(0.05619, -0.02591, 0.27439),(0.05719, 0.00627, 0.28098),(0.05015, -0.02949, 0.27870),(0.06197, -0.04487, 0.28354),(0.07829, -0.05058, 0.28711),
13.98196,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10467, -0.04081, 0.24015),(0.05602, -0.02535, 0.27387),(0.05703, 0.00688, 0.28046),(0.04997, -0.02893, 0.27816),(0.06180, -0.04431, 0.28300),(0.07811, -0.05002, 0.28657),
14.00018,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10506, -0.04078, 0.24071),(0.05595, -0.02662, 0.27444),(0.05735, 0.00831, 0.28174),(0.05007, -0.02991, 0.27861),(0.06213, -0.04538, 0.28322),(0.07841, -0.05106, 0.28660),
14.03713,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10508, -0.04013, 0.24043),(0.05596, -0.02598, 0.27416),(0.05737, 0.00900, 0.28146),(0.05009, -0.02927, 0.27833),(0.06215, -0.04474, 0.28293),(0.07843, -0.05042, 0.28630),
14.04659,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10508, -0.04000, 0.24037),(0.05597, -0.02585, 0.27410),(0.05738, 0.00913, 0.28141),(0.05009, -0.02914, 0.27827),(0.06215, -0.04461, 0.28288),(0.07844, -0.05029, 0.28625),
14.06171,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10664, -0.04001, 0.24185),(0.05802, -0.02495, 0.27492),(0.06309, 0.01892, 0.28626),(0.05115, -0.02915, 0.28070),(0.06357, -0.04411, 0.28574),(0.08016, -0.04984, 0.28886),
14.07824,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10664, -0.04001, 0.24185),(0.05802, -0.02495, 0.27492),(0.06309, 0.01892, 0.28626),(0.05115, -0.02915, 0.28070),(0.06357, -0.04411, 0.28574),(0.08016, -0.04984, 0.28886),
